Molecules,SMILES,Adsorption energy,1 C,2C,3C,4C,5C,6C,7C,8C,9C,N,Ring O1,O2,O3,O4,Polarizability,Dipole moment,TPSA,entropy,EA,volume,natom,IP,McGowan_Volume,Kier1,Kier2,Kier3
mol106,NC(C(O)C1=CC(O)=C(O)C(C=O)=C1)C(O)=O,20.61,0.319927,-0.116126,0.146465,-0.053144,0.053104,0.263681,0.214496,0.097079,0.572783,-0.091676,-0.213573,-0.261558,-0.48138,-0.14383,129.04,6.28,141.08,132.09,0.2203,199.03,17,0.05414,1.646,15.05882353,6.25,3.484444444
mol107,CC(=O)C1=CC(=CC(O)=C1O)C(O)C(N)C(O)=O,24.12,0.321791,-0.120481,0.149439,-0.056278,0.049042,0.249146,0.213342,0.097359,0.573064,-0.092971,-0.222034,-0.266065,-0.482197,-0.14474,139.65,5.73,141.08,140,0.2166,215.59,18,0.0444,1.7869,16.05555556,6.437869822,3.75
mol108,NC(C(O)C1=CC(O)=C(O)C(=C1)C(F)(F)F)C(O)=O,17.8,0.316845,-0.117041,0.139997,-0.060796,-0.074578,0.29371,0.216571,0.095996,0.57438,-0.091422,-0.208141,-0.259839,-0.481352,-0.143232,125.47,6.01,124.01,140.84,0.2188,211.34,19,0.0214,1.6834,17.05263158,6.18549346,3.98615917
mol109,NC(C(O)C1=CC(O)=C(O)C(CO)=C1)C(O)=O,25.72,0.31353,-0.137333,0.146855,-0.090899,0.121935,0.279487,0.209513,0.095361,0.574904,-0.096415,-0.226281,-0.268066,-0.484035,-0.141995,129.47,2.25,144.23,137.48,0.203,204.86,17,0.0067,1.689,15.05882353,6.25,3.484444444
mol110,NC(C(O)C1=CC(O)=C(O)C(CCl)=C1)C(O)=O,18.71,0.31857,-0.129041,0.144677,-0.080372,0.143312,0.280793,0.213207,0.097086,0.573953,-0.093426,-0.218187,-0.263008,-0.482651,-0.141077,136.39,4.33,124.01,136.94,0.2131,210.38,17,0.0227,1.7527,15.05882353,6.25,3.484444444
mol111,CSC1=CC(=CC(O)=C1O)C(O)C(N)C(O)=O,19.99,0.319058,-0.135772,0.155353,-0.048364,-0.14268,0.319775,0.211592,0.094157,0.574839,-0.093898,-0.213848,-0.265835,-0.482092,-0.145261,145.13,5.07,124.01,138.7,0.2045,214.73,17,0.0123,1.7938,15.05882353,6.25,3.484444444
mol112,NC(C(O)C1=CC(O)=C(O)C(CF)=C1)C(O)=O,17.32,0.315135,-0.131463,0.147258,-0.0904,0.078563,0.279691,0.211554,0.094857,0.574754,-0.094133,-0.219144,-0.264361,-0.482561,-0.142217,125.67,3.93,124.01,135.1,0.2099,201.78,17,0.0125,1.648,15.05882353,6.25,3.484444444
mol113,CC(C)(C)C1=CC(=CC(O)=C1O)C(O)C(N)C(O)=O,17.84,0.319516,-0.145988,0.155652,-0.126152,0.137716,0.25832,0.208615,0.091931,0.575573,-0.095844,-0.232001,-0.272889,-0.482952,-0.145309,157.83,3.53,124.01,145.718,0.2021,246.23,19,0.0072,2.053,17.05263158,6.18549346,3.98615917
mol114,CCC1=CC(=CC(O)=C1O)C(O)C(N)C(O)=O,24.74,,,,,,,,,,,,,,,,,,,,,,,,,,
mol115,COC(=O)C1=C(CC(N)C(O)=O)C=CC(O)=C1O,19.21,,,,,,,,,,,,,,,,,,,,,,,,,,
mol116,NC(CC1=C(C=C)C(O)=C(O)C=C1)C(O)=O,16.49,,,,,,,,,,,,,,,,,,,,,,,,,,
mol117,NC(CC1=C(C#C)C(O)=C(O)C=C1)C(O)=O,16.87,,,,,,,,,,,,,,,,,,,,,,,,,,
mol118,C\C=C\C1=C(CC(N)C(O)=O)C=CC(O)=C1O,18.54,,,,,,,,,,,,,,,,,,,,,,,,,,
mol119,CC#CC1=C(CC(N)C(O)=O)C=CC(O)=C1O,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,
mol120,COCC1=C(CC(N)C(O)=O)C=CC(O)=C1O,18.03,,,,,,,,,,,,,,,,,,,,,,,,,,
mol121,NC(CC1=C(C(Cl)=O)C(O)=C(O)C=C1)C(O)=O,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,
mol122,NC(CC1=C(C(N)=O)C(O)=C(O)C=C1)C(O)=O,21.31,,,,,,,,,,,,,,,,,,,,,,,,,,
mol123,NC(CC1=C(C(O)=O)C(O)=C(O)C=C1)C(O)=O,17.75,,,,,,,,,,,,,,,,,,,,,,,,,,
mol124,NC(CC1=C(CC2=CC=CC=C2)C(O)=C(O)C=C1)C(O)=O,18.09,,,,,,,,,,,,,,,,,,,,,,,,,,
mol125,NC(CC1=C(CC(=O)C2=CC=CC=C2)C(O)=C(O)C=C1)C(O)=O,18.24,,,,,,,,,,,,,,,,,,,,,,,,,,
mol126,NC(CC1=C(COC2=CC=CC=C2)C(O)=C(O)C=C1)C(O)=O,21.68,,,,,,,,,,,,,,,,,,,,,,,,,,
mol127,COC(=O)C1=CC(CC(N)C(O)=O)=CC(O)=C1O,20.17,,,,,,,,,,,,,,,,,,,,,,,,,,
mol128,NC(CC1=CC(O)=C(O)C(C=C)=C1)C(O)=O,18.26,,,,,,,,,,,,,,,,,,,,,,,,,,
mol129,NC(CC1=CC(O)=C(O)C(=C1)C#C)C(O)=O,17.14,,,,,,,,,,,,,,,,,,,,,,,,,,
mol130,C\C=C\C1=CC(CC(N)C(O)=O)=CC(O)=C1O,20.17,,,,,,,,,,,,,,,,,,,,,,,,,,
mol131,CC#CC1=CC(CC(N)C(O)=O)=CC(O)=C1O,19.15,,,,,,,,,,,,,,,,,,,,,,,,,,
mol132,COCC1=CC(CC(N)C(O)=O)=CC(O)=C1O,20.45,,,,,,,,,,,,,,,,,,,,,,,,,,
mol133,NC(CC1=CC(O)=C(O)C(=C1)C(Cl)=O)C(O)=O,18.65,,,,,,,,,,,,,,,,,,,,,,,,,,
